Color Name,L,A,B
Tea,63.23,13.63,26.78
Raw Umber,85.06,0.94,20.49
Copper,76.08,3.17,7.88
Yasha,82.84,2.26,8.71
Walnut Brown,63.91,9.92,9.93
Venetian Red,76.37,17.91,14.07
Nougat,85.89,1.16,8.41
Burnt Ochre,83.59,4.39,22.02
Bistre,84.92,2.19,11.3
Light Yellow Ochre,85.51,0.59,20.54
Burnt Sienna,66.1,18.4,26
Terracotta,83.87,5.81,24.39
Sanguine,79.67,12.85,19.73
Brown Ochre,82.26,2.68,21.71
Chromium Green Opaque,81.92,-2.6,13.64
Olive Green Yellowish,76.4,-1.95,22.63
Bistre + Brown Ochre,76.64,6.61,25.35
Raw Umber + War Grey III,78.45,2.3,20.08
Sanguine + Warm Grey II,79.79,11.25,19
Brown Ochre + Warm Grey II,75.73,6.9,29.42
Terracotta + Nougat,71.25,12.58,28.42
Raw Umber + Warm Grey II,71.68,7.7,30.38
Brown Ochre + Terracotta,67.2,15.82,35.91
Walnut Brown + Cream,78.02,4.32,11.19
Warm Grey II + Nougat,72.7,6.25,14.8
Terracotta + Warm Grey II,78.25,8.58,26.38
Burnt Ochre + Nougat,76.49,7.05,22.51
Light Yellow Ochre + Cream,85,-0.14,18.68
Raw Imber + Nougat,63.64,10.89,29.02
Brown Ochre + Raw Umber,63.45,13.41,34.53
Bistre + Raw Umber,75.61,8.45,25.83
Nougat + Sanguine,78.83,10.37,19.32
Brown Ochre + Sanguine,62.64,21.42,32.37
Burn Sienna + Nougat Heavy,61.15,11.36,19.82
Nougat + Cream,78.74,4.45,15.71
Bistre + Nougat,61.31,11.76,26.64
Bistre + Sanguine,78.73,12.37,21.71
Burnt Ochre + Raw Umber,74,11.19,34.23
Bistre + Burnt Ochre,72.75,12.52,29.69
Sanguine + Raw Umber,70.51,16.43,34.21
Bistre + Cold Grey I,83.94,2.18,13.39
Brown Ochre + Nougat,70.41,9.48,28.08
Brown Ochre + Dark Sepia,60.72,6.5,22.53
Terracotta + Raw Umber,66.56,19.92,35.51
Bistre + Terracotta,77.8,8,30.19
Brown Ochre + Cold Grey II,82.22,1.25,17.86
Burnt Ochre + Terracotta,71.91,15.03,32.24
Brown Ochre + Cold Grey I,76.88,6.21,28.99
Copper + Cream,83.6,0.54,9.6
Nougat + Ivory,79.62,4.57,12.98
Burnt Ochre + Brown Ochre,66.23,16.19,36.14
Burnt Ochre + Sanguine,72.86,19.06,30.73
Bistre + Cream,81.92,4.02,18.77
Terracotta + Sanguine,78.12,13.35,25.4
Bistre + Warm Grey II + Burnt Ochre,72.78,12.04,30.97
Bistre + Brown Ochre + Warm Grey II,68.61,12.08,32.66
Raw Umber + Copper + Ivory,75.27,4.49,25.31
Bistre + Copper + Ivory,81.46,4.93,18.14
Bistre + Warm Grey II + White,79.09,5.64,19.55
Walnut Brown + Nougat + Bistre,68.22,8.84,16.67
Sanguine + Raw Umber + Terracotta,63.19,25.11,34.49
Walnut Brown + Bistre + Terracotta + White,80.08,4.54,12.97
Ivory + Copper + Burnt Ochre + Brown Ochre,83.11,1.73,16.44
Dark Sepia + Bistre + Walnut Brown + Nougat + Cold Grey,67.12,6.8,13.37
Neutral,80.04,2.45,8.78
Burnt Umber Acrylic,26.53,4.69,6.44